Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
44.00,No,Research & Development,4.00,Married,10248.00,No,22.00,40-49,High,6+,,,,,,,,
46.00,No,Sales,1.00,Single,18947.00,No,2.00,40-49,High,0-2,,,,,,,,
33.00,No,Research & Development,4.00,Single,2496.00,No,1.00,30-39,Low,0-2,,,,,,,,
44.00,No,Research & Development,4.00,Married,6465.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
30.00,No,Research & Development,3.00,Single,2206.00,No,10.00,30-39,Low,6+,,,,,,,,
39.00,Yes,Sales,4.00,Married,2086.00,No,1.00,30-39,Low,0-2,,,,,,,,
24.00,Yes,Research & Development,4.00,Married,2293.00,Yes,2.00,20-29,Low,0-2,,,,,,,,
43.00,No,Research & Development,3.00,Divorced,2645.00,No,5.00,40-49,Low,3-5,,,,,,,,
50.00,Yes,Sales,3.00,Married,2683.00,Yes,3.00,50+,Low,3-5,,,,,,,,
35.00,No,Sales,4.00,Married,2014.00,No,2.00,30-39,Low,0-2,,,,,,,,
36.00,No,Research & Development,1.00,Married,3419.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
33.00,No,Sales,1.00,Married,5376.00,No,5.00,30-39,Medium,3-5,,,,,,,,
35.00,No,Research & Development,4.00,Divorced,1951.00,No,1.00,30-39,Low,0-2,,,,,,,,
27.00,No,Research & Development,1.00,Divorced,2341.00,No,1.00,20-29,Low,0-2,,,,,,,,
26.00,Yes,Research & Development,3.00,Single,2293.00,No,1.00,20-29,Low,0-2,,,,,,,,
27.00,No,Sales,3.00,Single,8726.00,No,9.00,20-29,High,6+,,,,,,,,
30.00,No,Research & Development,4.00,Single,4011.00,No,12.00,30-39,Medium,6+,,,,,,,,
41.00,Yes,Research & Development,3.00,Married,19545.00,No,22.00,40-49,High,6+,,,,,,,,
34.00,No,Sales,3.00,Single,4568.00,No,9.00,30-39,Medium,6+,,,,,,,,
37.00,No,Research & Development,2.00,Married,3022.00,No,1.00,30-39,Medium,0-2,,,,,,,,
46.00,No,Sales,4.00,Single,5772.00,Yes,9.00,40-49,Medium,6+,,,,,,,,
35.00,No,Research & Development,4.00,Married,2269.00,No,1.00,30-39,Low,0-2,,,,,,,,
48.00,Yes,Research & Development,3.00,Single,5381.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
28.00,Yes,Research & Development,3.00,Single,3441.00,Yes,2.00,20-29,Medium,0-2,,,,,,,,
44.00,No,Sales,1.00,Divorced,5454.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
35.00,No,Research & Development,1.00,Married,9884.00,Yes,4.00,30-39,High,3-5,,,,,,,,
26.00,No,Sales,4.00,Married,4157.00,Yes,2.00,20-29,Medium,0-2,,,,,,,,
33.00,No,Research & Development,4.00,Single,13458.00,Yes,15.00,30-39,High,6+,,,,,,,,
35.00,No,Sales,1.00,Married,9069.00,No,9.00,30-39,High,6+,,,,,,,,
35.00,No,Research & Development,1.00,Married,4014.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
31.00,No,Research & Development,4.00,Divorced,5915.00,No,7.00,30-39,Medium,6+,,,,,,,,
37.00,No,Research & Development,3.00,Divorced,5993.00,No,7.00,30-39,Medium,6+,,,,,,,,
32.00,No,Research & Development,4.00,Married,6162.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,4.00,Single,2406.00,No,10.00,30-39,Low,6+,,,,,,,,
50.00,No,Research & Development,3.00,Divorced,18740.00,Yes,27.00,50+,High,6+,,,,,,,,
59.00,No,Sales,1.00,Single,7637.00,No,21.00,50+,High,6+,,,,,,,,
36.00,No,Research & Development,3.00,Divorced,10096.00,No,17.00,30-39,High,6+,,,,,,,,
55.00,No,Research & Development,3.00,Divorced,14756.00,Yes,5.00,50+,High,3-5,,,,,,,,
36.00,No,Research & Development,2.00,Single,6499.00,No,6.00,30-39,Medium,6+,,,,,,,,
45.00,No,Research & Development,1.00,Divorced,9724.00,No,1.00,40-49,High,0-2,,,,,,,,
35.00,No,Research & Development,1.00,Married,2194.00,No,3.00,30-39,Low,3-5,,,,,,,,
36.00,Yes,Research & Development,3.00,Married,3388.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
59.00,No,Sales,3.00,Single,5473.00,No,4.00,50+,Medium,3-5,,,,,,,,
29.00,No,Research & Development,2.00,Married,2703.00,No,5.00,20-29,Low,3-5,,,,,,,,
31.00,No,Research & Development,2.00,Single,2501.00,No,1.00,30-39,Low,0-2,,,,,,,,
32.00,No,Research & Development,2.00,Married,6220.00,No,10.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,4.00,Married,3038.00,No,1.00,30-39,Medium,0-2,,,,,,,,
31.00,No,Research & Development,4.00,Single,4424.00,No,11.00,30-39,Medium,6+,,,,,,,,
35.00,No,Sales,1.00,Single,4312.00,No,15.00,30-39,Medium,6+,,,,,,,,
45.00,No,Research & Development,1.00,Married,13245.00,Yes,0.00,40-49,High,0-2,,,,,,,,
37.00,No,Research & Development,3.00,Single,13664.00,No,5.00,30-39,High,3-5,,,,,,,,
46.00,No,Human Resources,2.00,Divorced,5021.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Married,5126.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Single,2859.00,No,6.00,30-39,Low,6+,,,,,,,,
55.00,No,Sales,4.00,Married,10239.00,No,1.00,50+,High,0-2,,,,,,,,
38.00,No,Research & Development,4.00,Divorced,5329.00,Yes,13.00,30-39,Medium,6+,,,,,,,,
34.00,No,Research & Development,2.00,Married,4325.00,No,5.00,30-39,Medium,3-5,,,,,,,,
56.00,No,Research & Development,4.00,Single,7260.00,No,6.00,50+,High,6+,,,,,,,,
23.00,No,Sales,1.00,Divorced,2322.00,No,0.00,20-29,Low,0-2,,,,,,,,
51.00,No,Research & Development,4.00,Married,2075.00,No,4.00,50+,Low,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Married,4152.00,No,11.00,30-39,Medium,6+,,,,,,,,
46.00,Yes,Sales,4.00,Single,9619.00,No,9.00,40-49,High,6+,,,,,,,,
40.00,No,Research & Development,2.00,Married,13503.00,No,22.00,40-49,High,6+,,,,,,,,
51.00,No,Sales,4.00,Single,5441.00,Yes,10.00,50+,Medium,6+,,,,,,,,
30.00,No,Sales,2.00,Divorced,5209.00,Yes,11.00,30-39,Medium,6+,,,,,,,,
46.00,No,Research & Development,1.00,Married,10673.00,Yes,10.00,40-49,High,6+,,,,,,,,
32.00,No,Sales,3.00,Single,5010.00,No,11.00,30-39,Medium,6+,,,,,,,,
54.00,No,Research & Development,3.00,Married,13549.00,No,4.00,50+,High,3-5,,,,,,,,
24.00,No,Sales,3.00,Married,4999.00,No,3.00,20-29,Medium,3-5,,,,,,,,
28.00,No,Sales,3.00,Married,4221.00,No,5.00,20-29,Medium,3-5,,,,,,,,
58.00,No,Sales,3.00,Single,13872.00,No,37.00,50+,High,6+,,,,,,,,
44.00,No,Research & Development,2.00,Married,2042.00,No,3.00,40-49,Low,3-5,,,,,,,,
37.00,Yes,Human Resources,1.00,Divorced,2073.00,Yes,3.00,30-39,Low,3-5,,,,,,,,
32.00,No,Research & Development,1.00,Single,2956.00,No,1.00,30-39,Low,0-2,,,,,,,,
20.00,Yes,Research & Development,4.00,Single,2926.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
34.00,No,Research & Development,3.00,Single,4809.00,No,16.00,30-39,Medium,6+,,,,,,,,
37.00,No,Research & Development,4.00,Divorced,5163.00,No,1.00,30-39,Medium,0-2,,,,,,,,
59.00,No,Human Resources,4.00,Married,18844.00,No,3.00,50+,High,3-5,,,,,,,,
50.00,No,Research & Development,2.00,Married,18172.00,Yes,8.00,50+,High,6+,,,,,,,,
25.00,Yes,Sales,3.00,Single,5744.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
25.00,No,Research & Development,4.00,Married,2889.00,No,2.00,20-29,Low,0-2,,,,,,,,
22.00,No,Research & Development,4.00,Single,2871.00,No,0.00,20-29,Low,0-2,,,,,,,,
51.00,No,Research & Development,1.00,Single,7484.00,No,13.00,50+,High,6+,,,,,,,,
34.00,Yes,Research & Development,3.00,Single,6074.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
54.00,No,Human Resources,4.00,Single,17328.00,Yes,5.00,50+,High,3-5,,,,,,,,
24.00,No,Research & Development,3.00,Married,2774.00,No,5.00,20-29,Low,3-5,,,,,,,,
34.00,No,Research & Development,2.00,Divorced,4505.00,No,1.00,30-39,Medium,0-2,,,,,,,,
37.00,No,Sales,4.00,Single,7428.00,No,5.00,30-39,High,3-5,,,,,,,,
34.00,No,Research & Development,1.00,Single,11631.00,No,11.00,30-39,High,6+,,,,,,,,
36.00,No,Sales,4.00,Married,9738.00,No,9.00,30-39,High,6+,,,,,,,,
36.00,No,Research & Development,4.00,Divorced,2835.00,No,1.00,30-39,Low,0-2,,,,,,,,
43.00,No,Sales,4.00,Married,16959.00,Yes,25.00,40-49,High,6+,,,,,,,,
30.00,No,Research & Development,3.00,Divorced,2613.00,No,10.00,30-39,Low,6+,,,,,,,,
33.00,No,Sales,2.00,Married,6146.00,No,7.00,30-39,Medium,6+,,,,,,,,
56.00,Yes,Research & Development,2.00,Married,4963.00,Yes,5.00,50+,Medium,3-5,,,,,,,,
51.00,No,Research & Development,3.00,Single,19537.00,No,20.00,50+,High,6+,,,,,,,,
31.00,Yes,Sales,3.00,Married,6172.00,Yes,7.00,30-39,Medium,6+,,,,,,,,
26.00,No,Research & Development,2.00,Married,2368.00,No,5.00,20-29,Low,3-5,,,,,,,,
58.00,Yes,Research & Development,4.00,Married,10312.00,No,40.00,50+,High,6+,,,,,,,,
19.00,Yes,Sales,3.00,Single,1675.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
22.00,No,Research & Development,4.00,Married,2523.00,No,2.00,20-29,Low,0-2,,,,,,,,
49.00,No,Research & Development,1.00,Married,6567.00,No,15.00,40-49,Medium,6+,,,,,,,,
43.00,No,Research & Development,3.00,Single,4739.00,No,3.00,40-49,Medium,3-5,,,,,,,,
50.00,No,Sales,4.00,Single,9208.00,No,2.00,50+,High,0-2,,,,,,,,
31.00,Yes,Sales,3.00,Married,4559.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
41.00,No,Sales,3.00,Divorced,8189.00,Yes,9.00,40-49,High,6+,,,,,,,,
26.00,No,Human Resources,3.00,Married,2942.00,No,8.00,20-29,Low,6+,,,,,,,,
36.00,No,Research & Development,2.00,Divorced,4941.00,No,3.00,30-39,Medium,3-5,,,,,,,,
51.00,Yes,Research & Development,4.00,Single,10650.00,No,4.00,50+,High,3-5,,,,,,,,
39.00,No,Sales,3.00,Married,5902.00,No,15.00,30-39,Medium,6+,,,,,,,,
25.00,No,Sales,3.00,Married,8639.00,No,2.00,20-29,High,0-2,,,,,,,,
30.00,No,Human Resources,4.00,Married,6347.00,Yes,11.00,30-39,Medium,6+,,,,,,,,
32.00,Yes,Research & Development,1.00,Single,4200.00,No,5.00,30-39,Medium,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Single,3452.00,No,6.00,40-49,Medium,6+,,,,,,,,
38.00,No,Research & Development,3.00,Single,4317.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
30.00,No,Research & Development,3.00,Single,2632.00,No,5.00,30-39,Low,3-5,,,,,,,,
32.00,No,Sales,4.00,Divorced,4668.00,No,8.00,30-39,Medium,6+,,,,,,,,
30.00,No,Research & Development,1.00,Divorced,3204.00,No,3.00,30-39,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Single,2720.00,No,5.00,30-39,Low,3-5,,,,,,,,
41.00,No,Research & Development,1.00,Divorced,17181.00,No,7.00,40-49,High,6+,,,,,,,,
41.00,No,Research & Development,1.00,Married,2238.00,No,5.00,40-49,Low,3-5,,,,,,,,
19.00,No,Research & Development,2.00,Single,1483.00,No,1.00,20-29,Low,0-2,,,,,,,,
40.00,No,Research & Development,2.00,Divorced,5605.00,No,20.00,40-49,Medium,6+,,,,,,,,
35.00,No,Sales,2.00,Married,7295.00,No,10.00,30-39,High,6+,,,,,,,,
53.00,No,Sales,3.00,Married,2306.00,Yes,7.00,50+,Low,6+,,,,,,,,
45.00,No,Research & Development,2.00,Divorced,2348.00,No,17.00,40-49,Low,6+,,,,,,,,
32.00,No,Sales,4.00,Single,8998.00,No,9.00,30-39,High,6+,,,,,,,,
29.00,No,Research & Development,3.00,Married,4319.00,No,10.00,20-29,Medium,6+,,,,,,,,
51.00,No,Research & Development,3.00,Married,6132.00,No,1.00,50+,Medium,0-2,,,,,,,,
58.00,No,Research & Development,2.00,Married,3346.00,Yes,1.00,50+,Medium,0-2,,,,,,,,
40.00,No,Sales,4.00,Married,10855.00,No,12.00,40-49,High,6+,,,,,,,,
34.00,No,Sales,3.00,Married,2231.00,No,4.00,30-39,Low,3-5,,,,,,,,
22.00,No,Research & Development,4.00,Married,2323.00,No,2.00,20-29,Low,0-2,,,,,,,,
27.00,No,Research & Development,2.00,Divorced,2024.00,No,2.00,20-29,Low,0-2,,,,,,,,
28.00,No,Research & Development,4.00,Married,2713.00,No,5.00,20-29,Low,3-5,,,,,,,,
57.00,No,Research & Development,4.00,Divorced,9439.00,Yes,5.00,50+,High,3-5,,,,,,,,
27.00,No,Research & Development,3.00,Divorced,2566.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
50.00,No,Research & Development,2.00,Single,19926.00,No,5.00,50+,High,3-5,,,,,,,,
41.00,No,Research & Development,3.00,Divorced,2451.00,No,9.00,40-49,Low,6+,,,,,,,,
30.00,No,Sales,4.00,Married,9419.00,No,10.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,4.00,Single,8686.00,No,8.00,30-39,High,6+,,,,,,,,
32.00,No,Research & Development,3.00,Single,3038.00,No,5.00,30-39,Medium,3-5,,,,,,,,
27.00,No,Research & Development,2.00,Married,3058.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
19.00,Yes,Sales,1.00,Single,2325.00,No,0.00,20-29,Low,0-2,,,,,,,,
36.00,No,Research & Development,2.00,Single,2088.00,No,8.00,30-39,Low,6+,,,,,,,,
30.00,No,Research & Development,1.00,Divorced,3072.00,No,12.00,30-39,Medium,6+,,,,,,,,
45.00,No,Sales,1.00,Divorced,5006.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
56.00,No,Research & Development,1.00,Divorced,4257.00,Yes,2.00,50+,Medium,0-2,,,,,,,,
33.00,No,Research & Development,4.00,Single,2500.00,No,3.00,30-39,Low,3-5,,,,,,,,
19.00,Yes,Research & Development,4.00,Single,1102.00,No,1.00,20-29,Low,0-2,,,,,,,,
46.00,No,Sales,1.00,Divorced,10453.00,No,24.00,40-49,High,6+,,,,,,,,
38.00,No,Research & Development,4.00,Single,2288.00,No,2.00,30-39,Low,0-2,,,,,,,,
31.00,No,Research & Development,4.00,Married,3929.00,Yes,4.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Research & Development,2.00,Single,2311.00,No,3.00,30-39,Low,3-5,,,,,,,,
41.00,Yes,Sales,2.00,Single,3140.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
50.00,No,Research & Development,3.00,Married,3690.00,No,3.00,50+,Medium,3-5,,,,,,,,
53.00,No,Research & Development,1.00,Divorced,4450.00,No,4.00,50+,Medium,3-5,,,,,,,,
33.00,No,Research & Development,2.00,Married,2756.00,No,8.00,30-39,Low,6+,,,,,,,,
40.00,No,Research & Development,3.00,Married,19033.00,No,20.00,40-49,High,6+,,,,,,,,
55.00,No,Research & Development,2.00,Single,18722.00,No,24.00,50+,High,6+,,,,,,,,
34.00,No,Research & Development,3.00,Married,9547.00,No,10.00,30-39,High,6+,,,,,,,,
51.00,No,Research & Development,2.00,Single,13734.00,No,7.00,50+,High,6+,,,,,,,,
52.00,No,Research & Development,3.00,Married,19999.00,No,33.00,50+,High,6+,,,,,,,,
27.00,No,Research & Development,2.00,Single,2279.00,No,7.00,20-29,Low,6+,,,,,,,,
35.00,Yes,Research & Development,3.00,Married,5916.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
43.00,No,Research & Development,4.00,Divorced,2089.00,No,5.00,40-49,Low,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Married,16792.00,No,20.00,40-49,High,6+,,,,,,,,
37.00,No,Research & Development,1.00,Married,3564.00,Yes,8.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,2.00,Single,4425.00,No,6.00,30-39,Medium,6+,,,,,,,,
42.00,No,Research & Development,3.00,Divorced,5265.00,No,5.00,40-49,Medium,3-5,,,,,,,,
38.00,No,Research & Development,3.00,Married,6553.00,No,1.00,30-39,Medium,0-2,,,,,,,,
38.00,No,Research & Development,4.00,Married,6261.00,No,7.00,30-39,Medium,6+,,,,,,,,
27.00,No,Research & Development,1.00,Married,4298.00,No,2.00,20-29,Medium,0-2,,,,,,,,
49.00,No,Research & Development,4.00,Divorced,6804.00,Yes,7.00,40-49,Medium,6+,,,,,,,,
34.00,No,Research & Development,3.00,Divorced,3815.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
40.00,No,Research & Development,4.00,Married,2741.00,Yes,7.00,40-49,Low,6+,,,,,,,,
38.00,Yes,Research & Development,1.00,Married,6673.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
29.00,Yes,Sales,4.00,Married,7639.00,No,10.00,20-29,High,6+,,,,,,,,
22.00,No,Research & Development,2.00,Divorced,2328.00,Yes,4.00,20-29,Low,3-5,,,,,,,,
36.00,No,Research & Development,4.00,Single,2153.00,No,8.00,30-39,Low,6+,,,,,,,,
40.00,No,Research & Development,4.00,Married,4876.00,No,3.00,40-49,Medium,3-5,,,,,,,,
46.00,No,Research & Development,1.00,Divorced,9396.00,No,4.00,40-49,High,3-5,,,,,,,,
32.00,Yes,Sales,4.00,Married,10400.00,No,14.00,30-39,High,6+,,,,,,,,
30.00,No,Research & Development,3.00,Single,8474.00,No,11.00,30-39,High,6+,,,,,,,,
27.00,No,Sales,3.00,Single,9981.00,No,7.00,20-29,High,6+,,,,,,,,
51.00,No,Research & Development,2.00,Married,12490.00,No,10.00,50+,High,6+,,,,,,,,
30.00,Yes,Research & Development,1.00,Single,2657.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
41.00,No,Sales,4.00,Single,13591.00,Yes,1.00,40-49,High,0-2,,,,,,,,
30.00,Yes,Sales,1.00,Single,6696.00,No,6.00,30-39,Medium,6+,,,,,,,,
29.00,Yes,Research & Development,3.00,Single,2058.00,No,6.00,20-29,Low,6+,,,,,,,,
45.00,No,Sales,4.00,Single,8865.00,No,19.00,40-49,High,6+,,,,,,,,
54.00,No,Sales,1.00,Married,5940.00,No,6.00,50+,Medium,6+,,,,,,,,
36.00,No,Research & Development,2.00,Single,5914.00,No,13.00,30-39,Medium,6+,,,,,,,,
33.00,No,Research & Development,2.00,Married,2622.00,No,3.00,30-39,Low,3-5,,,,,,,,
37.00,No,Research & Development,4.00,Divorced,12185.00,Yes,10.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,3.00,Divorced,10609.00,No,16.00,30-39,High,6+,,,,,,,,
31.00,No,Research & Development,3.00,Married,4345.00,No,5.00,30-39,Medium,3-5,,,,,,,,
59.00,No,Research & Development,4.00,Married,2177.00,No,1.00,50+,Low,0-2,,,,,,,,
37.00,No,Sales,4.00,Divorced,2793.00,No,9.00,30-39,Low,6+,,,,,,,,
29.00,No,Sales,4.00,Married,7918.00,No,11.00,20-29,High,6+,,,,,,,,
35.00,No,Sales,3.00,Single,8789.00,No,10.00,30-39,High,6+,,,,,,,,
29.00,Yes,Research & Development,4.00,Single,2389.00,Yes,4.00,20-29,Low,3-5,,,,,,,,
52.00,No,Research & Development,4.00,Single,3212.00,No,2.00,50+,Medium,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Married,19232.00,No,22.00,40-49,High,6+,,,,,,,,
59.00,No,Human Resources,3.00,Married,2267.00,No,2.00,50+,Low,0-2,,,,,,,,
50.00,No,Sales,4.00,Divorced,19517.00,No,7.00,50+,High,6+,,,,,,,,
33.00,Yes,Research & Development,4.00,Married,2436.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
43.00,No,Sales,4.00,Married,16064.00,Yes,17.00,40-49,High,6+,,,,,,,,
33.00,Yes,Research & Development,1.00,Married,2707.00,No,9.00,30-39,Low,6+,,,,,,,,
52.00,No,Sales,3.00,Single,19068.00,Yes,33.00,50+,High,6+,,,,,,,,
32.00,No,Sales,2.00,Married,3931.00,No,4.00,30-39,Medium,3-5,,,,,,,,
32.00,Yes,Research & Development,3.00,Single,3730.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Divorced,2232.00,No,3.00,30-39,Low,3-5,,,,,,,,
32.00,No,Sales,4.00,Married,4465.00,No,3.00,30-39,Medium,3-5,,,,,,,,
41.00,No,Research & Development,1.00,Divorced,3072.00,No,1.00,40-49,Medium,0-2,,,,,,,,
40.00,No,Research & Development,4.00,Divorced,3319.00,No,9.00,40-49,Medium,6+,,,,,,,,
45.00,No,Research & Development,4.00,Married,19202.00,No,24.00,40-49,High,6+,,,,,,,,
31.00,No,Research & Development,3.00,Divorced,13675.00,No,2.00,30-39,High,0-2,,,,,,,,
33.00,No,Research & Development,4.00,Married,2911.00,No,2.00,30-39,Low,0-2,,,,,,,,
34.00,No,Research & Development,1.00,Married,5957.00,No,11.00,30-39,Medium,6+,,,,,,,,
37.00,No,Research & Development,1.00,Married,3920.00,No,3.00,30-39,Medium,3-5,,,,,,,,
45.00,No,Research & Development,3.00,Married,6434.00,No,3.00,40-49,Medium,3-5,,,,,,,,
37.00,Yes,Research & Development,3.00,Divorced,10048.00,No,1.00,30-39,High,0-2,,,,,,,,
39.00,No,Research & Development,3.00,Single,10938.00,No,19.00,30-39,High,6+,,,,,,,,
29.00,No,Research & Development,4.00,Single,2340.00,No,6.00,20-29,Low,6+,,,,,,,,
42.00,No,Research & Development,1.00,Single,6545.00,Yes,3.00,40-49,Medium,3-5,,,,,,,,
29.00,No,Sales,4.00,Divorced,6931.00,No,3.00,20-29,Medium,3-5,,,,,,,,
25.00,No,Research & Development,3.00,Married,4898.00,No,4.00,20-29,Medium,3-5,,,,,,,,
42.00,No,Research & Development,1.00,Divorced,2593.00,Yes,9.00,40-49,Low,6+,,,,,,,,
40.00,No,Research & Development,3.00,Divorced,19436.00,No,21.00,40-49,High,6+,,,,,,,,
51.00,No,Research & Development,4.00,Married,2723.00,No,1.00,50+,Low,0-2,,,,,,,,
31.00,Yes,Research & Development,2.00,Single,3479.00,No,5.00,30-39,Medium,3-5,,,,,,,,
32.00,No,Research & Development,2.00,Married,2794.00,No,5.00,30-39,Low,3-5,,,,,,,,
38.00,No,Sales,4.00,Married,5249.00,No,8.00,30-39,Medium,6+,,,,,,,,
32.00,No,Research & Development,1.00,Single,2176.00,No,6.00,30-39,Low,6+,,,,,,,,
46.00,No,Sales,2.00,Married,16872.00,Yes,7.00,40-49,High,6+,,,,,,,,
28.00,Yes,Research & Development,3.00,Single,3485.00,No,0.00,20-29,Medium,0-2,,,,,,,,
29.00,No,Sales,2.00,Married,6644.00,No,0.00,20-29,Medium,0-2,,,,,,,,
31.00,No,Research & Development,4.00,Married,5582.00,No,9.00,30-39,Medium,6+,,,,,,,,
25.00,No,Research & Development,1.00,Divorced,4000.00,No,6.00,20-29,Medium,6+,,,,,,,,
45.00,No,Research & Development,4.00,Married,13496.00,Yes,20.00,40-49,High,6+,,,,,,,,
36.00,No,Research & Development,4.00,Married,3210.00,No,15.00,30-39,Medium,6+,,,,,,,,
55.00,No,Research & Development,1.00,Single,19045.00,Yes,36.00,50+,High,6+,,,,,,,,
47.00,Yes,Research & Development,2.00,Married,11849.00,Yes,10.00,40-49,High,6+,,,,,,,,
28.00,No,Research & Development,4.00,Married,2070.00,No,5.00,20-29,Low,3-5,,,,,,,,
37.00,No,Sales,4.00,Married,6502.00,No,5.00,30-39,Medium,3-5,,,,,,,,
21.00,No,Research & Development,3.00,Single,3230.00,No,3.00,20-29,Medium,3-5,,,,,,,,
37.00,No,Research & Development,4.00,Divorced,13603.00,Yes,5.00,30-39,High,3-5,,,,,,,,
